organism_name,description
Cucumis sativus,Cucumber is a creeping vine plant cultivated for its edible cucumber fruit. It belongs to the gourd family.
Arachis hypogaea,Peanut is a legume cultivated for its edible seeds. It is commonly used in cooking and as a snack.
Capsicum annuum,Chili pepper is a species of pepper known for its spicy fruits. It belongs to the Solanaceae family.
Prunus persica,"Peach is a fruit-bearing tree cultivated for its sweet, juicy fruit. It belongs to the Rosaceae family."
Phaseolus vulgaris,Common bean is a legume cultivated for its edible seeds. It is a staple food in many cultures.
Brassica oleracea var. oleracea,Cabbage is a leafy green or purple vegetable. It is commonly used in cooking and salads.
Cucumis melo,"Melon is a trailing vine plant cultivated for its sweet, juicy fruit. It belongs to the gourd family."
Manihot esculenta,Cassava is a starchy tuberous root cultivated for its edible roots. It is a staple food in tropical regions.
Cicer arietinum,Chickpea is a legume cultivated for its edible seeds. It is used in various dishes and snacks.
Ipomoea batatas,Sweet potato is a starchy tuberous root cultivated for its sweet-tasting flesh. It is a staple food in many cultures.
Brachypodium distachyon,Brachypodium distachyon is a small grass used as a model organism in plant research. It has a short life cycle.
Lactuca sativa,Lettuce is a leafy green vegetable commonly used in salads. It belongs to the Asteraceae family.
Cannabis sativa,Cannabis sativa is a dioecious flowering plant cultivated for its medicinal and recreational uses. It belongs to the Cannabaceae family.
Musa acuminata subsp. malaccensis,Malaccensis banana is a subspecies of wild banana native to Southeast Asia.
Populus trichocarpa,Black cottonwood is a deciduous tree found in North America. It is valued for its timber and paper production.
Fragaria x ananassa,Hybrid strawberry resulting from the cross between Fragaria chiloensis and Fragaria virginiana. It is cultivated for its sweet berries.
Hevea brasiliensis,Rubber tree is a large evergreen tree native to South America. It is cultivated for latex production.
Helianthus annuus,"Sunflower is an annual plant cultivated for its large, sun-like flower heads. It is a source of sunflower oil."
Pisum sativum,Pea is a cool-season legume cultivated for its edible seeds. It is used in various culinary dishes.
Olea europaea var. sylvestris,Wild olive is a subspecies of olive tree found in Europe and Asia. It is valued for its oil-rich fruits.
Setaria italica,"Foxtail millet is a cereal grain cultivated for its small, nutritious seeds. It is a staple food in some regions."
Citrullus lanatus,"Watermelon is a trailing vine plant cultivated for its sweet, juicy fruit. It belongs to the gourd family."
Mangifera indica,"Mango is a fruit-bearing tree cultivated for its sweet, tropical fruit. It belongs to the Anacardiaceae family."
Elaeis guineensis,Oil palm is a tropical palm tree cultivated for its oil-rich fruit. It is a major source of palm oil.
Brassica juncea,Indian mustard is a cruciferous plant cultivated for its oil-rich seeds. It is used in cooking oil production.
Raphanus sativus,"Radish is a root vegetable cultivated for its crisp, peppery-flavored roots. It belongs to the Brassicaceae family."
Actinidia chinensis,"Chinese gooseberry, also known as kiwifruit, is a fruit-bearing vine cultivated for its sweet and tart berries."
Panax ginseng,Ginseng is a perennial herb valued for its medicinal properties. It is native to North America and Asia.
Saccharum officinarum,Sugarcane is a tall perennial grass cultivated for its sugar-rich stems. It is a major source of sugar production.
Beta vulgaris subsp. vulgaris,Sugar beet is a root vegetable cultivated for its sugar-rich roots. It is used in sugar production.
Ziziphus jujuba var. spinosa,"Chinese jujube is a deciduous tree cultivated for its sweet, date-like fruits. It belongs to the Rhamnaceae family."
Dendrobium officinale,Dendrobium officinale is a species of orchid used in traditional Chinese medicine. It is known for its medicinal properties.
Lotus japonicus,Lotus is a genus of aquatic plants known for their beautiful flowers. It has cultural and religious significance.
Gossypium barbadense,Barbados cotton is a species of cotton native to Barbados. It is valued for its fiber and oil.
Sesamum indicum,Sesame is a flowering plant cultivated for its edible seeds. It is used in cooking and as a source of sesame oil.
Gossypium arboreum,Tree cotton is a wild cotton species native to Africa. It is valued for its fiber.
Panicum virgatum,Switchgrass is a tall grass native to North America. It is used as a bioenergy crop and for soil conservation.
Coffea arabica,Arabica coffee is a species of coffee plant cultivated for its high-quality coffee beans. It is a major source of coffee production.
Allium cepa,Onion is a bulbous vegetable cultivated for its pungent flavor. It belongs to the Alliaceae family.
Salvia miltiorrhiza,Red sage is a flowering plant used in traditional Chinese medicine. It is known for its medicinal properties.
Fragaria vesca subsp. vesca,"Common woodland strawberry is a perennial herb with small, sweet berries. It belongs to the Rosaceae family."
Oryza rufipogon,Red rice is a species of wild rice found in Asia. It is cultivated for its edible grains.
Panax notoginseng,Notoginseng is a medicinal herb known for its beneficial properties. It is native to China.
Theobroma cacao,"Cacao tree is cultivated for its seeds, which are used to produce cocoa and chocolate."
Punica granatum,"Pomegranate is a fruit-bearing shrub or small tree with juicy, red arils. It belongs to the Lythraceae family."
Vigna unguiculata,Cowpea is a legume cultivated for its edible seeds. It is a major food crop in some regions.
Vigna radiata var. radiata,"Mung bean is a legume cultivated for its small, green seeds. It is used in various culinary dishes."
Lolium perenne,Perennial ryegrass is a grass species commonly used in lawns and pastures. It is known for its fine texture.
Vicia faba,Broad bean is a cool-season legume cultivated for its edible seeds. It is also known as fava bean.
Populus deltoides,Eastern cottonwood is a deciduous tree native to North America. It is commonly found along rivers.
Eucalyptus grandis,Rose gum is a tall tree native to Australia. It is valued for its timber and wood products.
Cajanus cajan,Pigeon pea is a perennial legume cultivated for its edible seeds. It is a major food crop in tropical regions.
Morus alba,White mulberry is a deciduous tree cultivated for its sweet fruits. It is used in sericulture.
Ananas comosus,Pineapple is a tropical fruit-bearing plant cultivated for its sweet and tangy fruit.
Persea americana,"Avocado is a fruit-bearing tree cultivated for its creamy, nutrient-rich fruit. It belongs to the Lauraceae family."
Juglans regia,Common walnut is a deciduous tree cultivated for its edible nuts. It belongs to the Juglandaceae family.
Rosa chinensis,China rose is a species of rose known for its fragrant flowers. It is cultivated for ornamental purposes.
Solanum pimpinellifolium,"Currant tomato is a wild tomato species native to South America. It is valued for its small, flavorful fruits."
Ricinus communis,Castor bean is a perennial flowering plant cultivated for its oil-rich seeds. It belongs to the Euphorbiaceae family.
Diospyros kaki,"Persimmon is a fruit-bearing tree cultivated for its sweet, orange fruits. It belongs to the Ebenaceae family."
Citrus maxima,"Pummelo is a citrus fruit tree cultivated for its large, grapefruit-like fruits. It belongs to the Rutaceae family."
Camellia oleifera,Tea oil camellia is an evergreen tree cultivated for its oil-rich seeds. It belongs to the Theaceae family.
Phoenix dactylifera,"Date palm is a palm tree cultivated for its sweet, date fruits. It belongs to the Arecaceae family."
Populus tomentosa,Chinese poplar is a deciduous tree cultivated for its timber. It is commonly found in China.
Fagopyrum tataricum,Tartary buckwheat is a cereal grain cultivated for its nutritious seeds. It is a type of buckwheat.
Aegilops tauschii subsp. strangulata,Tausch's goatgrass is a grass species native to Central Asia. It is used as a forage crop.
Setaria viridis,Green foxtail is a grass species found in temperate regions. It is used as a forage and food crop.
Cryptomeria japonica,Japanese cedar is an evergreen tree native to Japan. It is valued for its timber and wood products.
Spirodela polyrhiza,Greater duckweed is a floating aquatic plant. It is one of the smallest flowering plants.
Spinacia oleracea,Spinach is a leafy green vegetable commonly used in salads and cooking. It belongs to the Amaranthaceae family.
Camelina sativa,False flax is an annual plant cultivated for its oil-rich seeds. It belongs to the Brassicaceae family.
Cucurbita pepo subsp. pepo,Field pumpkin is a type of pumpkin cultivated for its edible fruit. It belongs to the Cucurbitaceae family.
Daucus carota subsp. sativus,"Carrot is a root vegetable cultivated for its sweet, crunchy roots. It belongs to the Apiaceae family."
Quercus robur,English oak is a deciduous tree native to Europe. It is valued for its timber and acorns.
Actinidia deliciosa,Delicious kiwi is a cultivar of kiwifruit known for its sweet and tart taste. It belongs to the Actinidiaceae family.
Zingiber officinale,"Ginger is a flowering plant cultivated for its rhizomes, used as a spice. It belongs to the Zingiberaceae family."
Prunus dulcis,Almond is a deciduous tree cultivated for its edible seeds. It belongs to the Rosaceae family.
Pueraria montana var. lobata,Kudzu is a climbing vine native to East Asia. It is used in traditional medicine and for erosion control.
Panicum miliaceum,"Proso millet is a cereal grain cultivated for its small, nutritious seeds. It is a staple food in some regions."
Prunus mume,Japanese apricot is a deciduous tree cultivated for its fragrant flowers and fruit. It belongs to the Rosaceae family.
Eucommia ulmoides,Hardy rubber tree is a deciduous tree native to China. It is cultivated for its latex production.
Allium sativum,Chives is a bulbous herb commonly used as a culinary ingredient. It belongs to the Amaryllidaceae family.
Carya illinoinensis,Illinois bundleflower is a perennial legume native to North America. It is used for forage and erosion control.
Papaver somniferum,"Also known as the opium poppy, it is cultivated for its opium alkaloids, which have medicinal uses. The plant produces large, showy flowers."
Prunus salicina,"Commonly known as the Japanese plum, it is a fruit-bearing tree that produces small, round plums. The fruits are sweet and are used in various culinary applications."
Lonicera japonica,"Also called Japanese honeysuckle, it is a twining vine with fragrant, tubular flowers. It is often cultivated for ornamental purposes and as ground cover."
Citrus trifoliata,"Known as the trifoliate orange, it is a deciduous shrub with trifoliate leaves and thorny branches. It is used as rootstock for citrus trees."
Xanthoceras sorbifolium,"Commonly known as yellowhorn, it is a deciduous tree with pinnate leaves and large clusters of yellow flowers. It is valued for its ornamental qualities."
Ficus carica,The common fig tree produces edible figs. It is cultivated for its sweet fruits and is also grown ornamentally.
Asparagus officinalis,Asparagus is a perennial vegetable with young shoots that are harvested for consumption. It is known for its tender texture and mild flavor.
Oryza longistaminata,"A wild rice species, it is known for its long stamens. It is a part of the genetic diversity in rice breeding."
Vigna angularis,"Commonly known as adzuki bean, it is an annual vine cultivated for its small, red beans. It is a staple in East Asian cuisine."
Boehmeria nivea var. tenacissima,"Ramie is a flowering plant known for its strong, bast fiber. It is used in the textile industry."
Oryza glaberrima,African rice is a cultivated species of rice that is a staple food in parts of Africa.
Dianthus caryophyllus,"Carnation is a perennial plant known for its fragrant, colorful flowers. It is popular in the floral industry."
Populus nigra,"Populus nigra, Deciduous tree native to Europe. It is commonly known as black poplar and has dark, furrowed bark."
Glycine soja,"Glycine soja, Wild soybean species, native to East Asia. It is the ancestor of the cultivated soybean and has small, beige seeds."
Lycium barbarum,"Lycium barbarum, Shrub native to southeastern Europe and Asia. It is cultivated for its edible berries, known as goji berries."
Brassica carinata,"Brassica carinata, Biennial plant cultivated for its seeds, which are used to produce oil. Also known as Ethiopian mustard or Abyssinian mustard."
Panax quinquefolius,"Panax quinquefolius, Herbaceous perennial plant used in traditional medicine. Its roots are valued for various health benefits."
Trifolium pratense,"Trifolium pratense, Legume commonly known as red clover. It is used as fodder and for soil improvement in agriculture."
Osmanthus fragrans,"Osmanthus fragrans, Fragrant flowering plant native to Asia. It is known for its small, white flowers used in perfumes."
Vanilla planifolia,"Vanilla planifolia, Orchid species valued for its aromatic beans, which are used to produce vanilla flavoring."
Colocasia esculenta,"Colocasia esculenta, Tropical plant with edible tubers. Also known as taro, it is a staple food in many tropical regions."
Vitis amurensis,"Vitis amurensis, Amur grape, a species of grapevine native to East Asia. It is cultivated for its fruit and is resistant to cold temperatures."
Hippophae rhamnoides,"Hippophae rhamnoides, Shrub or small tree known for its dense, thorny branches. It produces orange berries and is used in traditional medicine."
Gossypium raimondii,"Gossypium raimondii, Deciduous tree with fragrant flowers."
Psidium guajava,"Psidium guajava, Small tree with edible fruits. Commonly known as guava, it is cultivated for its sweet and fragrant berries."
Dimocarpus longan,"Dimocarpus longan, Tropical tree producing edible fruits. The longan fruit is similar to lychee and is often called ""dragon eye."""
Populus davidiana,"Populus davidiana, Deciduous tree native to East Asia. It is valued for its timber and has serrated leaves."
Pyrus betulifolia,"Pyrus betulifolia, Small deciduous tree producing edible fruits. It is native to East Asia and is known for its hardy nature."
Morella rubra,"Morella rubra, Evergreen shrub with small red fruits. Also known as Chinese bayberry, it is cultivated for its sweet berries."
Lupinus angustifolius,"Lupinus angustifolius, Annual plant cultivated for its seeds, known as lupin beans, which are used in various culinary applications."
Allium fistulosum,"Allium fistulosum, Perennial plant with tubular green leaves. Commonly known as green onion or scallion, it is used as a vegetable."
Phragmites australis,"Phragmites australis, Tall grass species found in wetlands. It is known for its feathery flower head and is used in thatching and weaving."
Oryza glumipatula,"Oryza glumipatula, Wild rice species found in wet habitats. It is a close relative of cultivated rice and has slender grains."
Vitis rotundifolia,"Vitis rotundifolia, Grapevine species native to the southeastern United States. It is commonly known as muscadine grape."
Lagenaria siceraria,"Lagenaria siceraria, Vine grown for its fruit, which is used as a vegetable or container. Commonly known as bottle gourd or calabash."
Rubus idaeus,"Rubus idaeus, Deciduous shrub producing edible berries. Commonly known as raspberry, it is cultivated for its sweet and tart fruit."
Gynostemma pentaphyllum,"Gynostemma pentaphyllum, Herbaceous vine used in traditional medicine. It is known for its adaptogenic properties."
Dioscorea alata,"Dioscorea alata, Climbing vine cultivated for its starchy tubers. Commonly known as purple yam, it is used in various culinary dishes."
Dendrobium nobile,"Dendrobium nobile, Epiphytic orchid species valued for its showy flowers. It is commonly grown as an ornamental plant."
Platycodon grandiflorus,"Platycodon grandiflorus, Perennial plant with balloon-like flower buds. Commonly known as balloon flower, it is cultivated for its ornamental value."
Lavandula angustifolia,"Lavandula angustifolia, Perennial herb known for its fragrant flowers. Commonly known as lavender, it is used in aromatherapy and perfumery."
Isatis tinctoria,"Isatis tinctoria, Herbaceous plant used for natural dye. Commonly known as woad, it produces blue dye from its leaves."
Scutellaria baicalensis,"Scutellaria baicalensis, Perennial herb used in traditional medicine. It is known for its roots, which contain bioactive compounds."
Apium graveolens,"Apium graveolens, Biennial plant cultivated for its celery-like stalks and leaves. Commonly known as celery, it is used in culinary dishes."
Fraxinus excelsior,"Fraxinus excelsior, Deciduous tree native to Europe. Commonly known as European ash, it is valued for its timber."
Saccharum spontaneum,"Saccharum spontaneum, Perennial grass species found in tropical and subtropical regions. It is used for thatching and as fodder."
Triticum urartu,"Triticum urartu, Wild wheat species and an ancestor of cultivated wheat. It has a brittle rachis and is cultivated for research purposes."
Benincasa hispida,"Benincasa hispida, Vine grown for its fruit, which is used as a vegetable. Commonly known as winter melon or ash gourd."
Triticum dicoccoides,"Triticum dicoccoides, Wild emmer wheat, an ancestor of cultivated wheat. It has a tough rachis and is grown for research and conservation."
Avicennia marina,"Avicennia marina, Mangrove tree species native to coastal areas. It is adapted to saline environments and is important for coastal ecosystems."
Gastrodia elata,"Gastrodia elata, Perennial orchid species used in traditional medicine. It is known for its fleshy, underground tuber."
Triadica sebifera,"Triadica sebifera, Small deciduous tree native to eastern Asia. It is known for its seeds, which are used to produce vegetable tallow."
Oryza nivara,"Oryza nivara, Wild rice species found in South Asia. It is a relative of cultivated rice and has slender grains."
Ambrosia artemisiifolia,"Ambrosia artemisiifolia, Annual plant known as common ragweed. It is a common weed and a major cause of hay fever."
Cichorium intybus,"Cichorium intybus, Herbaceous plant cultivated for its leaves, which are used in salads. Commonly known as chicory, it has a bitter taste."
Lupinus albus,"Lupinus albus, Annual plant cultivated for its seeds, known as lupin beans. It is used in various culinary applications."
Pogostemon cablin,"Pogostemon cablin, Perennial herb known for its fragrant leaves. Commonly known as patchouli, it is used in perfumery and aromatherapy."
Azadirachta indica,"Azadirachta indica, Evergreen tree native to the Indian subcontinent. Commonly known as neem, it is valued for its medicinal properties."
Helianthus tuberosus,"Helianthus tuberosus, Herbaceous perennial plant cultivated for its edible tuber. Also known as Jerusalem artichoke, it is used in culinary dishes."
Taxus chinensis,"Taxus chinensis, Evergreen coniferous tree native to China. It is a species of yew, and its bark and needles contain medicinal compounds."
Mikania micrantha,"Mikania micrantha, Perennial vine native to tropical America. It is considered an invasive species in some regions and is known for rapid growth."
Gardenia jasminoides,"Gardenia jasminoides, Evergreen shrub with fragrant white flowers. Commonly known as cape jasmine, it is grown for ornamental purposes."
Vitis riparia,"Vitis riparia, Grapevine species native to North America. It is used in breeding programs for developing cold-resistant grape varieties."
Plantago ovata,"Plantago ovata, Herbaceous plant known for its seeds, called psyllium. It is used as a dietary fiber supplement and in traditional medicine."
Fagus sylvatica,"Fagus sylvatica, Deciduous tree native to Europe. Commonly known as European beech, it is valued for its timber and ornamental use."
Nicotiana attenuata,"Nicotiana attenuata, Perennial plant native to North and South America. It is a wild tobacco species and is used in ecological research."
Cynara cardunculus var. scolymus,"Cynara cardunculus var. scolymus, Biennial plant cultivated for its edible flower buds. Commonly known as artichoke, it is used in culinary dishes."
Eleusine indica,"Eleusine indica, Annual grass species known as goosegrass or crowfoot. It is considered a weed in many agricultural settings."
Oryza coarctata,"Oryza coarctata, Wild rice species found in Asia. It is a distant relative of cultivated rice and is adapted to aquatic habitats."
Lablab purpureus,"Lablab purpureus, Leguminous plant cultivated for its edible beans. Commonly known as hyacinth bean, it is used in culinary dishes."
Luffa aegyptiaca,"Luffa aegyptiaca, Annual vine cultivated for its fruit, known as sponge gourd or Egyptian cucumber. It is used in cooking and bath products."
Artemisia argyi,"Artemisia argyi, Perennial herb native to East Asia. Commonly known as Chinese mugwort, it is used in traditional medicine and moxibustion."
Paspalum vaginatum,"Paspalum vaginatum, Perennial grass species found in tropical and subtropical regions. It is used for erosion control on sandy soils."
Phaseolus lunatus,"Phaseolus lunatus, Annual leguminous plant cultivated for its edible seeds, known as lima beans. It is used in culinary dishes."
Musa balbisiana,"Musa balbisiana, Wild banana species native to Southeast Asia. It is a progenitor of the cultivated banana and has starchy fruit."
Populus simonii,"Populus simonii, Deciduous tree native to China. Commonly known as Simon's poplar, it is valued for its timber and as an ornamental tree."
Amorphophallus konjac,"Amorphophallus konjac, Perennial plant with a large underground corm. Commonly known as konjac, it is used to produce glucomannan."
Lolium multiflorum,"Lolium multiflorum, Annual grass species known as Italian ryegrass. It is used for forage and erosion control in agriculture."
Eucalyptus globulus,"Eucalyptus globulus, Evergreen tree native to Australia. Commonly known as blue gum, it is valued for its wood and essential oil."
Dendrobium huoshanense,"Dendrobium huoshanense, Epiphytic orchid species valued for its showy flowers. It is commonly grown as an ornamental plant."
Arachis duranensis,"Arachis duranensis, Perennial plant cultivated for its edible seeds, known as peanuts. It is a wild relative of cultivated peanut."
Casuarina equisetifolia,"Casuarina equisetifolia, Evergreen tree native to Southeast Asia and Australia. It is commonly known as Australian pine and is used in landscaping."
Coix lacryma-jobi var. lacryma-jobi,"Coix lacryma-jobi var. lacryma-jobi, Annual grass species cultivated for its grains, known as Job's tears. It is used in traditional medicine and jewelry."
Arctium lappa,"Arctium lappa, Biennial plant known as greater burdock. It is cultivated for its edible roots and is used in traditional medicine."
Tagetes erecta,"Tagetes erecta, Annual herbaceous plant known as marigold. It is grown for its colorful flowers and is used in ornamental gardens."
Thlaspi arvense,"Thlaspi arvense, Annual plant known as field pennycress. It is considered a weed in some regions and is used in cover cropping."
Portulaca oleracea,"Portulaca oleracea, Annual succulent plant known as purslane. It is cultivated for its edible leaves and is used in culinary dishes."
Oryza meridionalis,"Oryza meridionalis, Wild rice species found in Australia. It is a distant relative of cultivated rice and is adapted to wetland habitats."
Pontederia crassipes,"Pontederia crassipes, Aquatic plant known as water hyacinth. It is considered an invasive species and is known for rapid growth."
Oryza barthii,"Oryza barthii, Wild rice species found in Africa. It is a relative of cultivated rice and is adapted to diverse ecological conditions."
Oryza brachyantha,"Oryza brachyantha, Wild rice species found in Southeast Asia. It is a distant relative of cultivated rice and is adapted to aquatic habitats."
Dendrocalamus latiflorus,"Dendrocalamus latiflorus, Giant bamboo species native to East Asia. It is valued for its tall culms and is used in construction and crafts."
Erigeron canadensis,"Erigeron canadensis, Perennial plant known as horseweed or Canadian fleabane. It is considered a weed and is used in traditional medicine."
Akebia trifoliata,"Akebia trifoliata, Deciduous vine native to East Asia. Commonly known as chocolate vine, it is grown for its fragrant flowers."
Nephelium lappaceum,"Nephelium lappaceum, Evergreen tree native to Southeast Asia. Commonly known as rambutan, it produces lychee-like fruits."
Paulownia fortunei,"Paulownia fortunei, Deciduous tree native to China. Commonly known as empress tree, it is valued for its fast growth and timber."
Vicia sativa,"Vicia sativa, Annual leguminous plant cultivated for forage and as a cover crop. Commonly known as common vetch."
Medicago ruthenica,"Medicago ruthenica, Perennial leguminous plant known as Russian alfalfa. It is used for forage and soil improvement."
Salvia hispanica,"Salvia hispanica, Annual plant cultivated for its seeds, known as chia seeds. It is valued for its nutritional content."
Coffea canephora,"Coffea canephora, Evergreen shrub native to Central and West Africa. Commonly known as robusta coffee, it is a coffee-producing species."
Fraxinus pennsylvanica,"Fraxinus pennsylvanica, Deciduous tree native to North America. Commonly known as green ash, it is used in landscaping and for timber."
Rhododendron molle,"Rhododendron molle, Evergreen shrub native to Southeast Asia. It is known for its showy flowers and is grown for ornamental purposes."
Solanum dulcamara,"Solanum dulcamara, Perennial vine native to Europe and Asia. Commonly known as bittersweet nightshade, it is used in traditional medicine."
Boechera stricta,"Boechera stricta, Perennial plant native to North America. Commonly known as rockcress, it is valued for its wildflower appearance."
Populus pruinosa,"Populus pruinosa, Deciduous tree native to China. Commonly known as frost poplar, it is grown for its timber and as an ornamental tree."
Salix purpurea,"Salix purpurea, Deciduous shrub native to Europe and Asia. Commonly known as purple willow, it is used in erosion control and for ornamental purposes."
Tamarix chinensis,"Tamarix chinensis, Deciduous shrub native to East Asia. It is commonly known as Chinese tamarisk and is used for landscaping."
Forsythia suspensa,"Forsythia suspensa, Deciduous shrub native to East Asia. Commonly known as weeping forsythia, it is valued for its yellow flowers."
Ambrosia trifida,"Ambrosia trifida, Annual plant native to North America. Commonly known as giant ragweed, it is considered an invasive species."
Arabidopsis suecica,"Arabidopsis suecica, Biennial plant resulting from the hybridization of Arabidopsis thaliana and Arabidopsis arenosa."
Tripterygium wilfordii,"Tripterygium wilfordii, Deciduous shrub native to East Asia. Commonly known as thunder god vine, it is used in traditional Chinese medicine."
Diospyros lotus,"Diospyros lotus, Deciduous tree native to East Asia. Commonly known as date-plum, it produces sweet fruits and is used in traditional medicine."
Dendrobium chrysotoxum,"Dendrobium chrysotoxum, Epiphytic orchid species known for its showy flowers. It is cultivated as an ornamental plant."
Panicum hallii,"Panicum hallii, Perennial grass species native to North America. It is used in ecological research and is known for its adaptation to various climates."
Solanum chilense,"Solanum chilense, Perennial herbaceous plant native to South America. It is a wild relative of cultivated tomatoes and potatoes."
